2024/06/16 09:04:07 [error] 10108#7584: *21372 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/?_fields=description%2Cgmt_offset%2Chome%2Cname%2Csite_icon%2Csite_icon_url%2Csite_logo%2Ctimezone_string%2Curl&wp_theme_preview=twentytwentytwo&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "labsassessment.local", referrer: "https://labsassessment.local/wp-admin/site-editor.php?wp_theme_preview=twentytwentytwo&return=https%3A%2F%2Flabsassessment.local%2Fwp-admin%2Fthemes.php"
2024/06/18 11:47:54 [error] 15084#16732: *5042 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:47:54 [error] 15084#16732: *5046 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:47:54 [error] 15084#16732: *5048 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:47:54 [error] 15084#16732: *5044 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10002", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:47:54 [error] 15084#16732: *5043 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:47:54 [error] 15084#16732: *5047 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:47:54 [error] 15084#16732: *5045 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10003", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5085 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5086 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
2024/06/18 11:48:06 [error] 15084#16732: *5087 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "labsassessment.local", referrer: "https://labsassessment.local/login/?redirect_to=https%3A%2F%2Flabsassessment.local%2F"
